,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
aardsda01,331,4,2,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,69,340,41,296,160,1011,4.27299703264095,0
aaronha01,3298,12364,1383,121,32,293,21,1402,2174,3771,240,2297,755,624,98,0,0,0,0,0,0,0,0,0,NA,0
aaronto01,437,944,145,6,0,3,9,86,102,216,9,94,13,42,6,0,0,0,0,0,0,0,0,0,NA,0
aasedo01,448,5,3,0,0,0,0,0,0,0,0,0,0,0,0,66,5,22,82,641,89,1085,468,3328,3.796875,0
abadan01,15,21,5,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
abadfe01,258,8,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,193,32,220,94,682,3.72140762463343,0
abadijo01,12,49,3,0,0,0,0,0,4,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
abbated01,855,3044,16,0,33,0,93,289,355,772,142,324,11,99,43,0,0,0,0,0,0,0,0,0,NA,0
abbeybe01,79,225,54,0,0,0,4,21,21,38,3,17,0,3,3,22,0,52,1,161,18,686,285,1704,4.51584507042254,0
abbeych01,451,1751,105,0,23,0,18,167,307,492,93,280,19,67,46,0,0,0,0,0,0,6,1,6,4.5,0
abbotda01,3,7,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,19,9,39,6.23076923076923,0
abbotfr01,160,513,0,0,8,0,20,19,48,107,14,49,1,21,6,0,0,0,0,0,0,0,0,0,NA,0
abbotgl01,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,37,0,484,162,1405,627,3858,4.38802488335925,0
abbotje01,233,596,91,7,3,2,5,38,82,157,6,83,18,33,2,0,0,0,0,0,0,0,0,0,NA,0
abbotji01,263,21,10,0,0,0,3,0,0,2,0,3,0,0,0,87,6,31,0,888,154,1779,791,5022,4.25268817204301,0
abbotku01,702,2044,571,12,17,11,21,133,273,523,22,242,62,109,23,0,0,0,0,0,0,0,0,0,NA,0
abbotky01,57,31,19,0,0,0,6,1,2,3,0,2,0,1,0,4,0,0,0,124,26,207,107,556,5.19604316546763,0
abbotod01,22,70,20,0,0,0,6,6,2,13,3,6,0,2,1,0,0,0,0,0,0,0,0,0,NA,0
abbotpa01,162,20,6,0,0,0,5,0,2,5,0,2,0,1,0,43,0,1,0,496,101,682,394,2162,4.9204440333025,0
aberal01,168,100,41,1,0,0,8,8,5,14,0,6,0,0,0,24,0,7,14,169,29,398,181,1168,4.18407534246575,0
abercda01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
abercre01,180,386,123,2,7,2,5,21,65,86,18,34,9,20,2,0,0,0,0,0,0,0,0,0,NA,0
abernbi01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,6,13.5,0
abernbr01,232,868,93,4,7,1,16,60,97,212,21,79,8,36,5,0,0,0,0,0,0,0,0,0,NA,0
abernte01,7,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,13,0,31,25,61,11.0655737704918,0
abernte02,681,181,74,0,2,0,15,6,12,25,0,9,0,3,0,63,2,7,148,765,70,1010,441,3443,3.45832123148417,0
abernwo01,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,5,36,17,126,3.64285714285714,0
aberscl01,63,179,44,0,0,0,0,25,25,45,0,26,5,7,3,0,0,0,0,0,0,0,0,0,NA,0
ablesha01,14,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,41,1,79,32,214,4.03738317757009,0
abnersh01,392,840,153,7,7,10,5,43,89,191,6,71,11,39,4,0,0,0,0,0,0,0,0,0,NA,0
abramca01,567,1611,290,4,7,2,16,304,257,433,12,138,32,64,19,0,0,0,0,0,0,0,0,0,NA,0
abramge01,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,5,14,9.64285714285714,0
abregjo01,6,9,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,3,32,17,72,6.375,0
abreubo01,2425,8480,1840,85,33,115,7,1476,1453,2470,400,1363,288,574,59,0,0,0,0,0,0,0,0,0,NA,0
abreujo01,9,28,4,0,0,0,0,4,4,6,0,3,1,1,0,0,0,0,0,0,0,0,0,0,NA,0
abreujo02,299,1169,271,5,26,26,0,90,168,354,3,208,66,69,5,0,0,0,0,0,0,0,0,0,NA,0
abreuju01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,6,2,20,2.7,0
abreuto01,224,579,116,8,5,2,1,22,61,147,2,60,6,39,6,0,0,0,0,0,0,0,0,0,NA,0
