,0,1,2,3,4
223,1.0,1.0,1.0,1.0,1.0
258,1.0,1.0,1.0,1.0,1.0
298,1.0,1.0,1.0,1.0,1.0
345,1.0,1.0,1.0,1.0,1.0
399,1.0,1.0,1.0,1.0,1.0
462,1.0,1.0,1.0,1.0,1.0
534,1.0,1.0,1.0,1.0,1.0
617,1.0,1.0,1.0,1.0,1.0
714,1.0,1.0,1.0,1.0,1.0
826,1.0,1.0,1.0,1.0,1.0
955,1.0,1.0,1.0,1.0,1.0
1104,1.0,1.0,1.0,1.0,1.0
1277,1.0,1.0,1.0,1.0,1.0
1477,1.0,1.0,1.0,1.0,1.0
1708,1.0,1.0,1.0,1.0,1.0
1975,1.0,1.0,1.0,1.0,1.0
2284,1.0,1.0,1.0,1.0,1.0
2641,1.0,1.0,1.0,1.0,1.0
3054,1.0,1.0,1.0,1.0,1.0
3532,1.0,1.0,1.0,1.0,1.0
